Class Label,Folder Name,Plant,Disease,Solution 1,Link 1,Solution 2,Link 2
14,Potato___Late_blight,Potato,Late Blight,Use fungicides with metalaxyl to control late blight during wet weather conditions.,https://extension.psu.edu/tomato-potato-late-blight-in-the-home-garden,Remove and destroy infected potato plants to prevent late blight from spreading.,"https://www.canr.msu.edu/news/tomato_late_blight_pressure_is_high#:~:text=Late%20blight%20symptoms%20include%20blighting,and%20humid%20(Photo%201)."
15,Squash___Powdery_mildew,Squash,Powdery Mildew,Use fungicides like neem oil or sulfur to treat and control powdery mildew on squash.,"https://ipm.ucanr.edu/QT/powderymildewcard.html#:~:text=Powdery%20mildew%20is%20common%20in,and%20shade%20encourage%20the%20disease.",Improve air circulation by spacing plants adequately and pruning leaves to reduce humidity and mildew growth.,https://extension.colostate.edu/topic-areas/yard-garden/powdery-mildews-2-902/
16,Strawberry___Leaf_scorch,Strawberry,Leaf Scorch,"Water strawberries properly, avoiding overhead watering, and using drip irrigation to prevent leaf scorch.",https://extension.umd.edu/resource/bruising-strawberry-leaves-0,"Apply mulch around strawberry plants to conserve soil moisture and protect roots from heat stress, reducing leaf scorch.",https://docs.lib.purdue.edu/cgi/viewcontent.cgi?article=2119&context=agext
17,Tomato___Bacterial_spot,Tomato,Bacterial Spot,"Remove symptomatic plants from your garden or greenhouse to prevent the spread of bacteria to healthy 
plants.",https://hort.extension.wisc.edu/articles/bacterial-spot-of-tomato/,Copper-containing bactericides provide partial disease control.,https://ipm.ucanr.edu/agriculture/tomato/bacterial-spot/#gsc.tab=0
18,Tomato___Early_blight,Tomato,Early Blight,Removal of selected branches from individual plants,https://shorturl.at/Qe8BK,Fungicides labeled for use on vegetables and containing copper or chlorothalonil ,https://shorturl.at/Qe8BK
19,Tomato___Late_blight,Tomato,Late Blight,Bury culled potatoes; do not throw them on the compost pile.,https://www.gov.mb.ca/agriculture/crops/plant-diseases/late-blight-disease-mgmt.html,Buy certified seed potatoes to reduce the risk of introducing late blight.,https://www.gov.mb.ca/agriculture/crops/plant-diseases/late-blight-disease-mgmt.html
20,Tomato___Leaf_Mold,Tomato,Leaf Mold,"Avoid overhead irrigation, and promote good airflow within the canopy",https://shorturl.at/cDEmt,Open vents on greenhouses or roll-up sidewalls on high tunnels to keep humidity levels below the favorable range,"https://www.vegetables.bayer.com/ca/en-ca/resources/agronomic-spotlights/two-tomato-leaf-mold-diseases.html#:~:text=Avoid%20overhead%20irrigation%2C%20and%20promote,11"
21,Tomato___Septoria_leaf_spot,Tomato,Septoria Leaf Spot,Prune and destroy infected leaves and plant debris to reduce the spread of Septoria leaf spot.,https://extension.umd.edu/resources/yard-garden/vegetables/tomatoes/,Use fungicides like chlorothalonil or copper-based products to prevent and manage Septoria leaf spot.,https://extension.psu.edu/do-these-tomato-plants-have-septoria-leaf-spot-or-early-blight
22,Tomato___Spider_mites Two-spotted_spider_mite,Tomato,Spider Mites or Two-Spotted Spider Mite,Use miticides or insecticidal soap to control spider mites on tomato plants,https://ipm.ucanr.edu/agriculture/alfalfa/spider-mites/#gsc.tab=0,Increase humidity and ensure adequate watering to create an unfavorable environment for spider mites.,"https://www.canr.msu.edu/news/spider_mites_showing#:~:text=Mites%20are%20best%20seen%20with,undersides%20of%20leaves%2C%20plus%20webbing."
23,Tomato___Target_Spot,Tomato,Target Spot,Use fungicides containing pyraclostrobin or fluopyram to control target spot on tomato plants.,https://site.extension.uga.edu/cook/2021/07/cotton-target-spot/,Rotate crops to prevent the buildup of target spot pathogens in the soil.,https://cropprotectionnetwork.org/encyclopedia/target-spot-of-cotton
24,Tomato___Tomato_mosaic_virus,Tomato,Tomato Mosaic Virus,Remove and destroy infected plants to prevent the virus from spreading to healthy tomatoes.,https://www.vegetables.cornell.edu/pest-management/keys-for-identifying-vegetable-diseases/tomato-diagnostic-key/symptoms-on-leaves/virus-symptoms/,Plant virus-free seeds and consider using resistant tomato varieties to prevent infection.,https://ipm.ucanr.edu/agriculture/tomato/mosaic-diseases-caused-by-potyviruses/#gsc.tab=0
25,Tomato___Tomato_Yellow_Leaf_Curl_Virus,Tomato,Tomato Yellow Leaf Curl Virus,"Apply insecticides to control whiteflies, which are the vectors of the tomato yellow leaf curl virus.","https://plantpath.ifas.ufl.edu/u-scout/tomato/tomato-yellow-leaf-curl.html#:~:text=Spread%20of%20TYLC%20is%20by,not%20transmitted%20through%20their%20eggs.",Remove infected tomato plants and weeds that could harbor the virus and whiteflies,https://ag.purdue.edu/department/arge/swpap/tomato-diseases.html
